parentSKU,SKU,name,slug,description,class,price,salePrice,taxonomies.productType,featuredImage,thumbnail,images,stockQuantity,totalSales,taxonomies.disc-type,attributes.color,attributes.plastic,attributes.rimColor,netWeight,taxonomies.brand,attributes.fade,attributes.glide,attributes.inboundsId,attributes.speed,attributes.turn
ATOM,ATOM_ELECTRON_1704,"Atom - Plastic: electron, Scaled Weight: 170-4g, Color: red",product-90-variation-6,,Variation,13,,Discs,,,,,,,Red,Electron,,170.4g,MVP Disc Sports,,,,,
ATOM,ATOM_ELECTRON_1723,"Atom - Plastic: electron, Scaled Weight: 172-3g, Color: hot-pink",product-90-variation-7,,Variation,13,,Discs,,,,,,,Hot Pink,Electron,,172.3g,MVP Disc Sports,,,,,
ATOM,ATOM_ELECTRON_1708,"Atom - Plastic: electron, Scaled Weight: 170-8g, Color: red",product-90-variation-8,,Variation,13,,Discs,,,,,,,Red,Electron,,170.8g,MVP Disc Sports,,,,,
ATOM,ATOM_ELECTRON_1730,"Atom - Plastic: electron, Scaled Weight: 173-0g, Color: light-yellow",product-90-variation-9,,Variation,13,,Discs,,,,,,,Light Yellow,Electron,,173.0g,MVP Disc Sports,,,,,
,ANODE,Anode,mvp-anode,"Manufacturer's Description: The Anode is MVP's beadless putter.
Clean putting releases and straight flights make the Anode our most accurate putter. Long smooth hyzer and anhyzer lines are made easy with the Anode as an approach disc. Great glide contributes to its ability to adapt to any putting style.",Variable,14.00-17.00,14.00-17.00,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-eclipse-1695.png,https://hyzershop.com/wp-content/uploads/mvp-anode-eclipse-1695-150x150.png,https://hyzershop.com/wp-content/uploads/mvp-anode-eclipse-1695.png|https://hyzershop.com/wp-content/uploads/mvp-anode-softproton-1733.png|https://hyzershop.com/wp-content/uploads/mvp-anode-softproton-1661.png|https://hyzershop.com/wp-content/uploads/mvp-anode-softeclipse-1711.png|https://hyzershop.com/wp-content/uploads/mvp-anode-softeclipse-1678.png|https://hyzershop.com/wp-content/uploads/mvp-anode-proton-1764.png|https://hyzershop.com/wp-content/uploads/mvp-anode-proton-1684.png|https://hyzershop.com/wp-content/uploads/mvp-anode-neutron-1751.png|https://hyzershop.com/wp-content/uploads/mvp-anode-neutron-1697.png|https://hyzershop.com/wp-content/uploads/mvp-anode-eclipse-1715.png|https://hyzershop.com/wp-content/uploads/mvp-anode-plasma-1739.png|https://hyzershop.com/wp-content/uploads/mvp-anode-plasma-1687.png,11,1,Putters,Blue Sparkle|Dark Purple|Light Blue|Light Orange|Neon Green|Orange|Purple|White,Eclipse Proton|Eclipse Proton (Soft)|Neutron|Plasma|Proton|Proton (Soft),Black|White,166.1g|167.8g|168.4g|168.7g|169.5g|169.7g|171.1g|171.5g|173.3g|173.9g|175.1g|176.4g,MVP Disc Sports,0,3,4193231,3,0
ANODE,ANODE_NEUTRON_1751,"Anode - Plastic: neutron, Rim Color: black, Color: purple, Scaled Weight: 175-1g",product-97-variation-3,,Variation,15,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-neutron-1751.png,https://hyzershop.com/wp-content/uploads/mvp-anode-neutron-1751-150x150.png,,1,,,Purple,Neutron,Black,175.1g,MVP Disc Sports,,,,,
ANODE,ANODE_NEUTRON_1697,"Anode - Plastic: neutron, Rim Color: black, Color: white, Scaled Weight: 169-7g",product-97-variation-4,,Variation,15,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-neutron-1697.png,https://hyzershop.com/wp-content/uploads/mvp-anode-neutron-1697-150x150.png,,0,,,White,Neutron,Black,169.7g,MVP Disc Sports,,,,,
ANODE,ANODE_SOFTPROTON_1661,"Anode - Plastic: proton-soft, Rim Color: black, Color: dark-purple, Scaled Weight: 166-1g",product-97-variation-5,,Variation,14,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-softproton-1661.png,https://hyzershop.com/wp-content/uploads/mvp-anode-softproton-1661-150x150.png,,1,,,Dark Purple,Proton (Soft),Black,166.1g,MVP Disc Sports,,,,,
ANODE,ANODE_SOFTPROTON_1733,"Anode - Plastic: proton-soft, Rim Color: black, Color: orange, Scaled Weight: 173-3g",product-97-variation-6,,Variation,14,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-softproton-1733.png,https://hyzershop.com/wp-content/uploads/mvp-anode-softproton-1733-150x150.png,,1,,,Orange,Proton (Soft),Black,173.3g,MVP Disc Sports,,,,,
ANODE,ANODE_SOFTECLIPSE_1678,"Anode - Plastic: eclipse-proton-soft, Rim Color: white, Color: purple, Scaled Weight: 167-8g",product-97-variation-7,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-softeclipse-1678.png,https://hyzershop.com/wp-content/uploads/mvp-anode-softeclipse-1678-150x150.png,,1,,,Purple,Eclipse Proton (Soft),White,167.8g,MVP Disc Sports,,,,,
ANODE,ANODE_SOFTECLIPSE_1711,"Anode - Plastic: eclipse-proton-soft, Rim Color: white, Color: neon-green, Scaled Weight: 171-1g",product-97-variation-8,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-softeclipse-1711.png,https://hyzershop.com/wp-content/uploads/mvp-anode-softeclipse-1711-150x150.png,,1,,,Neon Green,Eclipse Proton (Soft),White,171.1g,MVP Disc Sports,,,,,
ANODE,ANODE_ECLIPSE_1715,"Anode - Plastic: eclipse-proton, Rim Color: white, Color: purple, Scaled Weight: 171-5g",product-97-variation-9,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-eclipse-1715.png,https://hyzershop.com/wp-content/uploads/mvp-anode-eclipse-1715-150x150.png,,1,,,Purple,Eclipse Proton,White,171.5g,MVP Disc Sports,,,,,
ANODE,ANODE_ECLIPSE_1695,"Anode - Plastic: eclipse-proton, Rim Color: white, Color: blue-sparkle, Scaled Weight: 169-5g",product-97-variation-10,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-eclipse-1695.png,https://hyzershop.com/wp-content/uploads/mvp-anode-eclipse-1695-150x150.png,,1,,,Blue Sparkle,Eclipse Proton,White,169.5g,MVP Disc Sports,,,,,
ANODE,ANODE_PROTON_1684,"Anode - Plastic: proton, Rim Color: black, Color: orange, Scaled Weight: 168-4g",product-97-variation-11,,Variation,14,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-proton-1684.png,https://hyzershop.com/wp-content/uploads/mvp-anode-proton-1684-150x150.png,,1,,,Orange,Proton,Black,168.4g,MVP Disc Sports,,,,,
ANODE,ANODE_PROTON_1764,"Anode - Plastic: proton, Rim Color: black, Color: light-blue, Scaled Weight: 176-4g",product-97-variation-12,,Variation,14,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-proton-1764.png,https://hyzershop.com/wp-content/uploads/mvp-anode-proton-1764-150x150.png,,1,,,Light Blue,Proton,Black,176.4g,MVP Disc Sports,,,,,
ANODE,ANODE_PLASMA_1687,"Anode - Plastic: plasma, Rim Color: black, Color: light-blue, Scaled Weight: 168-7g",product-97-variation,,Variation,16,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-plasma-1687.png,https://hyzershop.com/wp-content/uploads/mvp-anode-plasma-1687-150x150.png,,1,,,Light Blue,Plasma,Black,168.7g,MVP Disc Sports,,,,,
ANODE,ANODE_PLASMA_1739,"Anode - Plastic: plasma, Rim Color: black, Color: orange, Scaled Weight: 173-9g",product-97-variation-2,,Variation,16,,Discs,https://hyzershop.com/wp-content/uploads/mvp-anode-plasma-1739.png,https://hyzershop.com/wp-content/uploads/mvp-anode-plasma-1739-150x150.png,,1,,,Orange,Plasma,Black,173.9g,MVP Disc Sports,,,,,
,ION,Ion,mvp-ion,"<strong>Manufacturer's Description: </strong>
The Ion is MVP's beaded putter.
The Ion's beaded rim design makes it a straight to overstable flier. Power putters can use the Ion with confidence. It is capable of holding long powerful lines with a late subtle fade. This makes it a very versatile putter that can be used in all conditions.",Variable,13.00-17.00,13.00-17.00,Discs,https://hyzershop.com/wp-content/uploads/mvp-ion-plasma-17461.png,https://hyzershop.com/wp-content/uploads/mvp-ion-plasma-17461-150x150.png,https://hyzershop.com/wp-content/uploads/mvp-ion-softproton-17401.png|https://hyzershop.com/wp-content/uploads/mvp-ion-softproton-16961.png|https://hyzershop.com/wp-content/uploads/mvp-ion-proton-17271.png|https://hyzershop.com/wp-content/uploads/mvp-ion-proton-16001.png|https://hyzershop.com/wp-content/uploads/mvp-ion-plasma-17461.png|https://hyzershop.com/wp-content/uploads/mvp-ion-plasma-16861.png|https://hyzershop.com/wp-content/uploads/mvp-ion-neutron-17481.png|https://hyzershop.com/wp-content/uploads/mvp-ion-neutron-16861.png|https://hyzershop.com/wp-content/uploads/mvp-ion-softelectron-1757.png|https://hyzershop.com/wp-content/uploads/mvp-ion-softelectron-1628.png|https://hyzershop.com/wp-content/uploads/mvp-ion-softeclipse-1707.png|https://hyzershop.com/wp-content/uploads/mvp-ion-softeclipse-1623.png|https://hyzershop.com/wp-content/uploads/mvp-ion-electron-1708.png|https://hyzershop.com/wp-content/uploads/mvp-ion-electron-1704.png|https://hyzershop.com/wp-content/uploads/mvp-ion-eclipse-1704.png|https://hyzershop.com/wp-content/uploads/mvp-ion-eclipse-1680.png,15,0,Putters,Blue|Light Blue|Neon Green|Neon Orange|Neon Pink|Olive Green|Pink|Purple|Swirly Gray|White|White Speckle|Yellow,Eclipse Proton|Eclipse Proton (Soft)|Electron|Electron (Soft)|Neutron|Plasma|Proton|Proton (Soft),Black|White,160.0g|162.3g|162.8g|168.0g|168.6g|169.6g|170.4g|170.7g|170.8g|172.7g|174.0g|174.6g|174.8g|175.7g,MVP Disc Sports,1,4,4316873,3,0
ION,ION_ELECTRON_1708,"Ion - Color: yellow, Rim Color: black, Plastic: electron, Scaled Weight: 170-8g",product-109-variation,,Variation,13,,Discs,https://hyzershop.com/wp-content/uploads/mvp-ion-electron-1708.png,https://hyzershop.com/wp-content/uploads/mvp-ion-electron-1708-150x150.png,,,,,Yellow,Electron,Black,170.8g,MVP Disc Sports,,,,,
ION,ION_ELECTRON_1704,"Ion - Color: white, Rim Color: black, Plastic: electron, Scaled Weight: 170-4g",product-109-variation-2,,Variation,13,,Discs,https://hyzershop.com/wp-content/uploads/mvp-ion-electron-1704.png,https://hyzershop.com/wp-content/uploads/mvp-ion-electron-1704-150x150.png,,1,,,White,Electron,Black,170.4g,MVP Disc Sports,,,,,
